symbol,date,avgFundingRate
BTCUSDT,2025-05-04,0.00003487
BTCUSDT,2025-05-05,-0.00000338
BTCUSDT,2025-05-06,0.00002392
BTCUSDT,2025-05-07,0.00000838
BTCUSDT,2025-05-08,0.00004218
BTCUSDT,2025-05-09,0.00008126
BTCUSDT,2025-05-10,0.00007971
BTCUSDT,2025-05-11,0.00008050
BTCUSDT,2025-05-12,0.00005585
BTCUSDT,2025-05-13,0.00008034
BTCUSDT,2025-05-14,0.00006879
BTCUSDT,2025-05-15,0.00003251
BTCUSDT,2025-05-16,0.00005602
BTCUSDT,2025-05-17,0.00002253
BTCUSDT,2025-05-18,0.00007548
BTCUSDT,2025-05-19,0.00004713
BTCUSDT,2025-05-20,0.00005584
BTCUSDT,2025-05-21,0.00007011
BTCUSDT,2025-05-22,0.00010000
BTCUSDT,2025-05-23,0.00008399
BTCUSDT,2025-05-24,0.00005317
BTCUSDT,2025-05-25,0.00006186
BTCUSDT,2025-05-26,0.00009038
BTCUSDT,2025-05-27,0.00005797
BTCUSDT,2025-05-28,0.00003597
BTCUSDT,2025-05-29,0.00004792
BTCUSDT,2025-05-30,0.00004621
BTCUSDT,2025-05-31,0.00006915
BTCUSDT,2025-06-01,0.00001957
BTCUSDT,2025-06-02,0.00003139
BTCUSDT,2025-06-03,0.00005005
ETHUSDT,2025-05-04,0.00000310
ETHUSDT,2025-05-05,0.00001124
ETHUSDT,2025-05-06,0.00000491
ETHUSDT,2025-05-07,0.00003724
ETHUSDT,2025-05-08,0.00007760
ETHUSDT,2025-05-09,0.00010000
ETHUSDT,2025-05-10,0.00009604
ETHUSDT,2025-05-11,0.00006600
ETHUSDT,2025-05-12,0.00007602
ETHUSDT,2025-05-13,0.00008744
ETHUSDT,2025-05-14,0.00006739
ETHUSDT,2025-05-15,0.00008566
ETHUSDT,2025-05-16,0.00008001
ETHUSDT,2025-05-17,0.00001000
ETHUSDT,2025-05-18,0.00003468
ETHUSDT,2025-05-19,0.00003596
ETHUSDT,2025-05-20,0.00005331
ETHUSDT,2025-05-21,0.00004549
ETHUSDT,2025-05-22,0.00007047
ETHUSDT,2025-05-23,0.00006425
ETHUSDT,2025-05-24,0.00005382
ETHUSDT,2025-05-25,0.00006093
ETHUSDT,2025-05-26,0.00004381
ETHUSDT,2025-05-27,0.00008009
ETHUSDT,2025-05-28,0.00010000
ETHUSDT,2025-05-29,0.00009440
ETHUSDT,2025-05-30,0.00007725
ETHUSDT,2025-05-31,0.00004727
ETHUSDT,2025-06-01,0.00004945
ETHUSDT,2025-06-02,0.00005184
ETHUSDT,2025-06-03,0.00003263
SOLUSDT,2025-05-04,-0.00008145
SOLUSDT,2025-05-05,-0.00004812
SOLUSDT,2025-05-06,-0.00000192
SOLUSDT,2025-05-07,0.00006324
SOLUSDT,2025-05-08,0.00005976
SOLUSDT,2025-05-09,0.00010000
SOLUSDT,2025-05-10,0.00010000
SOLUSDT,2025-05-11,0.00008372
SOLUSDT,2025-05-12,0.00006819
SOLUSDT,2025-05-13,0.00007628
SOLUSDT,2025-05-14,0.00007432
SOLUSDT,2025-05-15,0.00000660
SOLUSDT,2025-05-16,0.00002072
SOLUSDT,2025-05-17,-0.00000074
SOLUSDT,2025-05-18,0.00004977
SOLUSDT,2025-05-19,-0.00008483
SOLUSDT,2025-05-20,0.00004994
SOLUSDT,2025-05-21,0.00008793
SOLUSDT,2025-05-22,0.00009202
SOLUSDT,2025-05-23,0.00010000
SOLUSDT,2025-05-24,0.00003066
SOLUSDT,2025-05-25,-0.00000373
SOLUSDT,2025-05-26,0.00003154
SOLUSDT,2025-05-27,-0.00000595
SOLUSDT,2025-05-28,-0.00002218
SOLUSDT,2025-05-29,-0.00001228
SOLUSDT,2025-05-30,-0.00001105
SOLUSDT,2025-05-31,-0.00001696
SOLUSDT,2025-06-01,-0.00006188
SOLUSDT,2025-06-02,0.00002871
SOLUSDT,2025-06-03,0.00004371
ALPACAUSDT,2025-05-04,0.00001250
ALPACAUSDT,2025-05-05,0.00001250
ALPACAUSDT,2025-05-06,0.00001250
ALPACAUSDT,2025-05-07,0.00001250
ALPACAUSDT,2025-05-08,0.00001250
ALPACAUSDT,2025-05-09,0.00001250
ALPACAUSDT,2025-05-10,0.00001250
ALPACAUSDT,2025-05-11,0.00001250
ALPACAUSDT,2025-05-12,0.00001250
ALPACAUSDT,2025-05-13,0.00001250
ALPACAUSDT,2025-05-14,0.00001250
ALPACAUSDT,2025-05-15,0.00001250
ALPACAUSDT,2025-05-16,0.00001250
ALPACAUSDT,2025-05-17,0.00001250
ALPACAUSDT,2025-05-18,0.00001250
ALPACAUSDT,2025-05-19,0.00001250
ALPACAUSDT,2025-05-20,0.00001250
ALPACAUSDT,2025-05-21,0.00001250
ALPACAUSDT,2025-05-22,0.00001250
ALPACAUSDT,2025-05-23,0.00001250
ALPACAUSDT,2025-05-24,0.00001250
ALPACAUSDT,2025-05-25,0.00001250
ALPACAUSDT,2025-05-26,0.00001250
ALPACAUSDT,2025-05-27,0.00001250
ALPACAUSDT,2025-05-28,0.00001250
ALPACAUSDT,2025-05-29,0.00001250
ALPACAUSDT,2025-05-30,0.00001250
ALPACAUSDT,2025-05-31,0.00001250
ALPACAUSDT,2025-06-01,0.00001250
ALPACAUSDT,2025-06-02,0.00001250
ALPACAUSDT,2025-06-03,0.00001250
1000PEPEUSDT,2025-05-04,0.00001118
1000PEPEUSDT,2025-05-05,-0.00010286
1000PEPEUSDT,2025-05-06,0.00004217
1000PEPEUSDT,2025-05-07,-0.00002576
1000PEPEUSDT,2025-05-08,0.00004250
1000PEPEUSDT,2025-05-09,0.00013884
1000PEPEUSDT,2025-05-10,0.00009719
1000PEPEUSDT,2025-05-11,0.00010000
1000PEPEUSDT,2025-05-12,0.00010000
1000PEPEUSDT,2025-05-13,0.00010000
1000PEPEUSDT,2025-05-14,0.00009393
1000PEPEUSDT,2025-05-15,0.00010000
1000PEPEUSDT,2025-05-16,0.00005162
1000PEPEUSDT,2025-05-17,0.00004134
1000PEPEUSDT,2025-05-18,0.00006822
1000PEPEUSDT,2025-05-19,-0.00003554
1000PEPEUSDT,2025-05-20,0.00001388
1000PEPEUSDT,2025-05-21,0.00010000
1000PEPEUSDT,2025-05-22,0.00010000
1000PEPEUSDT,2025-05-23,0.00011338
1000PEPEUSDT,2025-05-24,0.00006294
1000PEPEUSDT,2025-05-25,0.00007886
1000PEPEUSDT,2025-05-26,0.00007478
1000PEPEUSDT,2025-05-27,0.00007895
1000PEPEUSDT,2025-05-28,0.00001589
1000PEPEUSDT,2025-05-29,0.00010000
1000PEPEUSDT,2025-05-30,-0.00004432
1000PEPEUSDT,2025-05-31,-0.00012748
1000PEPEUSDT,2025-06-01,-0.00003705
1000PEPEUSDT,2025-06-02,0.00001130
1000PEPEUSDT,2025-06-03,0.00010000
SOPHUSDT,2025-05-28,-0.00690497
SOPHUSDT,2025-05-29,-0.00125023
SOPHUSDT,2025-05-30,-0.00101864
SOPHUSDT,2025-05-31,-0.00060535
SOPHUSDT,2025-06-01,-0.00012208
SOPHUSDT,2025-06-02,-0.00039486
SOPHUSDT,2025-06-03,-0.00049342
DOGEUSDT,2025-05-04,-0.00001275
DOGEUSDT,2025-05-05,-0.00006617
DOGEUSDT,2025-05-06,0.00000775
DOGEUSDT,2025-05-07,0.00006145
DOGEUSDT,2025-05-08,0.00008025
DOGEUSDT,2025-05-09,0.00010000
DOGEUSDT,2025-05-10,0.00010000
DOGEUSDT,2025-05-11,0.00008595
DOGEUSDT,2025-05-12,0.00007486
DOGEUSDT,2025-05-13,0.00006286
DOGEUSDT,2025-05-14,0.00008600
DOGEUSDT,2025-05-15,0.00004938
DOGEUSDT,2025-05-16,0.00002266
DOGEUSDT,2025-05-17,-0.00000171
DOGEUSDT,2025-05-18,0.00003821
DOGEUSDT,2025-05-19,-0.00001458
DOGEUSDT,2025-05-20,0.00003963
DOGEUSDT,2025-05-21,0.00008379
DOGEUSDT,2025-05-22,0.00010000
DOGEUSDT,2025-05-23,0.00007420
DOGEUSDT,2025-05-24,-0.00001897
DOGEUSDT,2025-05-25,-0.00001678
DOGEUSDT,2025-05-26,0.00004685
DOGEUSDT,2025-05-27,0.00008854
DOGEUSDT,2025-05-28,0.00001380
DOGEUSDT,2025-05-29,0.00007715
DOGEUSDT,2025-05-30,0.00001027
DOGEUSDT,2025-05-31,0.00004090
DOGEUSDT,2025-06-01,0.00000599
DOGEUSDT,2025-06-02,0.00006676
DOGEUSDT,2025-06-03,0.00010000
XRPUSDT,2025-05-04,0.00002460
XRPUSDT,2025-05-05,-0.00004431
XRPUSDT,2025-05-06,0.00003330
XRPUSDT,2025-05-07,0.00004358
XRPUSDT,2025-05-08,0.00008752
XRPUSDT,2025-05-09,0.00010000
XRPUSDT,2025-05-10,0.00010000
XRPUSDT,2025-05-11,0.00007994
XRPUSDT,2025-05-12,0.00009708
XRPUSDT,2025-05-13,0.00010000
XRPUSDT,2025-05-14,0.00010000
XRPUSDT,2025-05-15,0.00004162
XRPUSDT,2025-05-16,0.00006245
XRPUSDT,2025-05-17,0.00005360
XRPUSDT,2025-05-18,0.00001453
XRPUSDT,2025-05-19,0.00001883
XRPUSDT,2025-05-20,0.00005386
XRPUSDT,2025-05-21,0.00003973
XRPUSDT,2025-05-22,0.00010000
XRPUSDT,2025-05-23,0.00006944
XRPUSDT,2025-05-24,0.00002960
XRPUSDT,2025-05-25,-0.00001545
XRPUSDT,2025-05-26,0.00008299
XRPUSDT,2025-05-27,0.00002560
XRPUSDT,2025-05-28,0.00002489
XRPUSDT,2025-05-29,0.00004511
XRPUSDT,2025-05-30,0.00004293
XRPUSDT,2025-05-31,0.00001494
XRPUSDT,2025-06-01,0.00000293
XRPUSDT,2025-06-02,0.00003863
XRPUSDT,2025-06-03,0.00010000
SUIUSDT,2025-05-04,0.00001574
SUIUSDT,2025-05-05,-0.00001815
SUIUSDT,2025-05-06,0.00008562
SUIUSDT,2025-05-07,0.00008485
SUIUSDT,2025-05-08,0.00004385
SUIUSDT,2025-05-09,0.00010000
SUIUSDT,2025-05-10,0.00010000
SUIUSDT,2025-05-11,0.00004578
SUIUSDT,2025-05-12,0.00010000
SUIUSDT,2025-05-13,0.00009063
SUIUSDT,2025-05-14,0.00001251
SUIUSDT,2025-05-15,0.00007458
SUIUSDT,2025-05-16,0.00008266
SUIUSDT,2025-05-17,0.00005954
SUIUSDT,2025-05-18,0.00004528
SUIUSDT,2025-05-19,-0.00005532
SUIUSDT,2025-05-20,0.00010000
SUIUSDT,2025-05-21,0.00010000
SUIUSDT,2025-05-22,0.00009837
SUIUSDT,2025-05-23,0.00007689
SUIUSDT,2025-05-24,0.00000773
SUIUSDT,2025-05-25,0.00003513
SUIUSDT,2025-05-26,0.00001311
SUIUSDT,2025-05-27,0.00000551
SUIUSDT,2025-05-28,0.00010000
SUIUSDT,2025-05-29,0.00008605
SUIUSDT,2025-05-30,0.00002229
SUIUSDT,2025-05-31,-0.00006237
SUIUSDT,2025-06-01,0.00002715
SUIUSDT,2025-06-02,0.00004659
SUIUSDT,2025-06-03,0.00010000
BNXUSDT,2025-05-04,0.00005000
BNXUSDT,2025-05-05,0.00005000
BNXUSDT,2025-05-06,0.00005000
BNXUSDT,2025-05-07,0.00005000
BNXUSDT,2025-05-08,0.00005000
BNXUSDT,2025-05-09,0.00005000
BNXUSDT,2025-05-10,0.00005000
BNXUSDT,2025-05-11,0.00005000
BNXUSDT,2025-05-12,0.00005000
BNXUSDT,2025-05-13,0.00005000
BNXUSDT,2025-05-14,0.00005000
BNXUSDT,2025-05-15,0.00005000
BNXUSDT,2025-05-16,0.00005000
BNXUSDT,2025-05-17,0.00005000
BNXUSDT,2025-05-18,0.00005000
BNXUSDT,2025-05-19,0.00005000
BNXUSDT,2025-05-20,0.00005000
BNXUSDT,2025-05-21,0.00005000
BNXUSDT,2025-05-22,0.00005000
BNXUSDT,2025-05-23,0.00005000
BNXUSDT,2025-05-24,0.00005000
BNXUSDT,2025-05-25,0.00005000
BNXUSDT,2025-05-26,0.00005000
BNXUSDT,2025-05-27,0.00005000
BNXUSDT,2025-05-28,0.00005000
BNXUSDT,2025-05-29,0.00005000
BNXUSDT,2025-05-30,0.00005000
BNXUSDT,2025-05-31,0.00005000
BNXUSDT,2025-06-01,0.00005000
BNXUSDT,2025-06-02,0.00005000
BNXUSDT,2025-06-03,0.00005000